date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-05-02,Capital Metro,Capital,periodical,79.3,76.46625,73.19462686567164
2020-05-09,Capital Metro,Capital,first class,87.81,88.87,89.02462686567164
2020-05-09,Capital Metro,Capital,marketing,91.47,86.395,87.77477611940299
2020-05-09,Capital Metro,Capital,periodical,74.73,66.375,69.31626865671642
2020-05-16,Capital Metro,Capital,first class,88.09,90.315,90.94850746268656
2020-05-16,Capital Metro,Capital,marketing,92.3,87.12375,89.65597014925373
2020-05-16,Capital Metro,Capital,periodical,82.03,71.49375,73.81582089552239
2020-05-23,Capital Metro,Capital,first class,90.05,91.97875,91.81462686567164
2020-05-23,Capital Metro,Capital,marketing,90.62,88.7275,89.30164179104477
2020-05-23,Capital Metro,Capital,periodical,85.17,78.765,76.63716417910447
